iteration,stability,complexity,refinement,data_size
1,8.026084775520442,0.8154662832664648,2.0,8
2,1.1978621766888948,0.8344805998874999,1.0161713882881973,8
3,0.30816629726224987,0.8993404075622695,0.6037533524122597,8
4,0.3263766530685186,0.8962598355919518,0.6113182443302352,8
5,0.30326989551037364,0.8107634605156955,0.5570166780130346,8
6,8.026084775520442,0.8237432534628307,2.0,12
7,1.0788427207572262,0.7749229004261163,0.7742383592590972,11
8,0.5090310937592815,0.821076249611787,0.6030963008897878,12
9,0.41960729495012317,0.9238226538267442,0.5987665922350515,13
10,0.32020898060568564,0.925025702422765,0.5667123046777646,13
11,0.7232931519542679,0.8144835315671147,0.6696592669725749,12
12,0.22568564150110804,0.914687582995256,0.534310678383039,13
13,0.3319591898289872,0.7733465706046897,0.5344354212637076,11
14,0.35244631595467235,0.8480469577940363,0.560082247304849,12
15,0.33673079327126215,0.8939855109753112,0.5651302525084226,13
16,0.3011165527500001,0.8802447197324124,0.5500161917096666,13
17,0.2657267796601524,0.856874487743149,0.5330181662497651,12
18,0.29943077278986857,0.9245982887271768,0.5602085758969777,13
19,0.5519743920491815,0.7696899810129292,0.6041410719700114,11
20,0.64355770072399,0.8153708723255143,0.6445487290970219,12
